Export of Imageset Testgame_2018_02_02_Antman (ball annotations in bounding boxes)
[team|NaoDevils]
[set|Testgame_2018_02_02_Antman]
[format: "label::annotation_type|filename|img_width|img_height|x1|y1|x2|y2|center_x|center_y|width|height"]
label::robot|16_02_2018__11_18_08_0020_upper.png|640|480|186|81|236|155|211.0|118.0|50|74
label::robot|16_02_2018__11_18_08_0020_upper.png|640|480|420|86|461|162|440.5|124.0|41|76
label::robot|16_02_2018__11_18_08_0020_upper.png|640|480|292|161|416|203|354.0|182.0|124|42
label::robot|16_02_2018__11_18_08_0020_upper.png|640|480|290|75|359|182|324.5|128.5|69|107
label::robot|16_02_2018__11_18_08_0020_upper.png|640|480|369|83|454|221|411.5|152.0|85|138
label::robot|16_02_2018__11_18_08_0021_upper.png|640|480|227|92|267|156|247.0|124.0|40|64
label::robot|16_02_2018__11_18_08_0021_upper.png|640|480|197|147|325|238|261.0|192.5|128|91
label::robot|16_02_2018__11_18_08_0022_upper.png|640|480|134|56|302|125|218.0|90.5|168|69
label::robot|16_02_2018__11_18_08_0022_upper.png|640|480|222|0|304|125|263.0|62.5|82|125
label::robot|16_02_2018__11_18_08_0022_upper.png|640|480|297|0|351|68|324.0|34.0|54|68
label::robot|16_02_2018__11_18_08_0022_upper.png|640|480|170|0|217|50|193.5|25.0|47|50
label::robot|16_02_2018__11_18_08_0022_upper.png|640|480|0|0|43|55|21.5|27.5|43|55
label::robot|16_02_2018__11_18_08_0024_upper.png|640|480|55|22|140|172|97.5|97.0|85|150
label::robot|16_02_2018__11_18_08_0024_upper.png|640|480|141|22|191|111|166.0|66.5|50|89
label::robot|16_02_2018__11_18_08_0024_upper.png|640|480|481|29|555|170|518.0|99.5|74|141
label::robot|16_02_2018__11_18_08_0025_upper.png|640|480|297|139|370|231|333.5|185.0|73|92
label::robot|16_02_2018__11_18_08_0025_upper.png|640|480|180|127|228|197|204.0|162.0|48|70
label::robot|16_02_2018__11_18_08_0025_upper.png|640|480|473|149|517|233|495.0|191.0|44|84
label::robot|16_02_2018__11_18_08_0025_upper.png|640|480|405|148|480|266|442.5|207.0|75|118
label::robot|16_02_2018__11_18_08_0025_upper.png|640|480|384|157|461|256|422.5|206.5|77|99
label::robot|16_02_2018__11_18_08_0025_upper.png|640|480|369|145|401|198|385.0|171.5|32|53
label::robot|16_02_2018__11_18_08_0027_upper.png|640|480|0|55|54|161|27.0|108.0|54|106
label::robot|16_02_2018__11_18_08_0027_upper.png|640|480|36|62|84|125|60.0|93.5|48|63
label::robot|16_02_2018__11_18_08_0027_upper.png|640|480|469|85|540|219|504.5|152.0|71|134
label::robot|16_02_2018__11_18_08_0027_upper.png|640|480|108|68|195|202|151.5|135.0|87|134
label::robot|16_02_2018__11_18_08_0027_upper.png|640|480|151|66|192|142|171.5|104.0|41|76
label::robot|16_02_2018__11_18_08_0027_upper.png|640|480|80|68|154|177|117.0|122.5|74|109
label::robot|16_02_2018__11_18_08_0028_upper.png|640|480|418|79|467|145|442.5|112.0|49|66
label::robot|16_02_2018__11_18_08_0028_upper.png|640|480|534|78|565|143|549.5|110.5|31|65
label::robot|16_02_2018__11_18_08_0028_upper.png|640|480|578|69|640|169|609.0|119.0|62|100
label::robot|16_02_2018__11_18_08_0029_upper.png|640|480|446|90|514|213|480.0|151.5|68|123
label::robot|16_02_2018__11_18_08_0029_upper.png|640|480|126|73|177|153|151.5|113.0|51|80
label::robot|16_02_2018__11_18_08_0029_upper.png|640|480|36|64|113|186|74.5|125.0|77|122
label::robot|16_02_2018__11_18_08_0029_upper.png|640|480|0|64|21|157|10.5|110.5|21|93
label::robot|16_02_2018__11_18_08_0029_upper.png|640|480|12|67|47|122|29.5|94.5|35|55
label::robot|16_02_2018__11_18_08_0029_upper.png|640|480|82|68|158|196|120.0|132.0|76|128
label::robot|16_02_2018__11_18_08_0043_upper.png|640|480|590|66|640|208|615.0|137.0|50|142
label::robot|16_02_2018__11_18_08_0043_upper.png|640|480|483|79|554|169|518.5|124.0|71|90
label::robot|16_02_2018__11_18_08_0043_upper.png|640|480|534|82|565|143|549.5|112.5|31|61
label::robot|16_02_2018__11_18_08_0043_upper.png|640|480|385|64|451|202|418.0|133.0|66|138
label::robot|16_02_2018__11_18_08_0043_upper.png|640|480|358|77|391|137|374.5|107.0|33|60
label::robot|16_02_2018__11_18_08_0043_upper.png|640|480|390|82|417|127|403.5|104.5|27|45
label::robot|16_02_2018__11_18_08_0044_upper.png|640|480|335|94|388|211|361.5|152.5|53|117
label::robot|16_02_2018__11_18_08_0044_upper.png|640|480|0|53|43|147|21.5|100.0|43|94
label::robot|16_02_2018__11_18_08_0058_upper.png|640|480|279|97|333|215|306.0|156.0|54|118
label::robot|16_02_2018__11_18_08_0062_upper.png|640|480|464|145|482|191|473.0|168.0|18|46
label::robot|16_02_2018__11_18_08_0062_upper.png|640|480|485|142|514|190|499.5|166.0|29|48
label::robot|16_02_2018__11_18_08_0062_upper.png|640|480|430|128|483|253|456.5|190.5|53|125
label::robot|16_02_2018__11_18_08_0066_upper.png|640|480|517|11|640|431|578.5|221.0|123|420
label::robot|16_02_2018__11_18_08_0067_upper.png|640|480|79|6|188|163|133.5|84.5|109|157
label::robot|16_02_2018__11_18_08_0067_upper.png|640|480|0|0|44|102|22.0|51.0|44|102
label::robot|16_02_2018__11_18_08_0068_upper.png|640|480|397|0|502|154|449.5|77.0|105|154
label::robot|16_02_2018__11_18_08_0068_upper.png|640|480|278|0|348|75|313.0|37.5|70|75
label::robot|16_02_2018__11_18_08_0068_upper.png|640|480|89|0|177|87|133.0|43.5|88|87
label::robot|16_02_2018__11_18_08_0068_upper.png|640|480|26|0|68|41|47.0|20.5|42|41
label::robot|16_02_2018__11_18_08_0068_upper.png|640|480|0|4|25|44|12.5|24.0|25|40
label::robot|16_02_2018__11_18_08_0072_upper.png|640|480|180|3|301|198|240.5|100.5|121|195
label::robot|16_02_2018__11_18_08_0072_upper.png|640|480|0|0|63|106|31.5|53.0|63|106
label::robot|16_02_2018__11_18_08_0072_upper.png|640|480|307|0|383|180|345.0|90.0|76|180
label::robot|16_02_2018__11_18_08_0074_upper.png|640|480|129|0|199|180|164.0|90.0|70|180
label::robot|16_02_2018__11_18_08_0074_upper.png|640|480|54|0|158|196|106.0|98.0|104|196
label::robot|16_02_2018__11_18_08_0075_upper.png|640|480|41|0|174|179|107.5|89.5|133|179
label::robot|16_02_2018__11_18_08_0075_upper.png|640|480|143|0|255|172|199.0|86.0|112|172
label::robot|16_02_2018__11_18_08_0076_upper.png|640|480|71|0|189|190|130.0|95.0|118|190
label::robot|16_02_2018__11_18_08_0076_upper.png|640|480|173|4|283|190|228.0|97.0|110|186
label::robot|16_02_2018__11_18_08_0077_upper.png|640|480|103|0|227|195|165.0|97.5|124|195
label::robot|16_02_2018__11_18_08_0077_upper.png|640|480|206|0|315|207|260.5|103.5|109|207
label::robot|16_02_2018__11_18_08_0078_upper.png|640|480|114|0|241|206|177.5|103.0|127|206
label::robot|16_02_2018__11_18_08_0078_upper.png|640|480|221|0|350|210|285.5|105.0|129|210
label::robot|16_02_2018__11_18_08_0079_upper.png|640|480|193|0|341|227|267.0|113.5|148|227
label::robot|16_02_2018__11_18_08_0079_upper.png|640|480|56|0|188|159|122.0|79.5|132|159
label::robot|16_02_2018__11_18_08_0080_upper.png|640|480|57|0|259|236|158.0|118.0|202|236
label::robot|16_02_2018__11_18_08_0081_upper.png|640|480|82|0|293|216|187.5|108.0|211|216
label::robot|16_02_2018__11_18_08_0081_upper.png|640|480|0|0|63|109|31.5|54.5|63|109
label::robot|16_02_2018__11_18_08_0082_upper.png|640|480|49|3|291|302|170.0|152.5|242|299
label::robot|16_02_2018__11_18_08_0084_upper.png|640|480|176|2|640|480|408.0|241.0|464|478
label::robot|16_02_2018__11_18_08_0084_upper.png|640|480|0|0|153|376|76.5|188.0|153|376
label::robot|16_02_2018__11_18_08_0087_upper.png|640|480|71|4|472|480|271.5|242.0|401|476
label::robot|16_02_2018__11_18_08_0088_upper.png|640|480|174|3|515|480|344.5|241.5|341|477
label::robot|16_02_2018__11_18_08_0089_upper.png|640|480|1|153|267|477|134.0|315.0|266|324
label::robot|16_02_2018__11_18_08_0090_upper.png|640|480|58|29|397|477|227.5|253.0|339|448
label::robot|16_02_2018__11_18_08_0091_upper.png|640|480|0|1|526|480|263.0|240.5|526|479
robot|16_02_2018__11_18_08_0096_upper.png|not_in_image
label::robot|16_02_2018__11_18_08_0097_upper.png|640|480|68|0|226|64|147.0|32.0|158|64
robot|16_02_2018__11_18_08_0104_upper.png|not_in_image
label::robot|16_02_2018__11_18_08_0105_upper.png|640|480|498|0|614|164|556.0|82.0|116|164
robot|16_02_2018__11_18_08_0106_upper.png|not_in_image
robot|16_02_2018__11_18_08_0107_upper.png|not_in_image
label::robot|16_02_2018__11_18_08_0109_upper.png|640|480|69|5|173|266|121.0|135.5|104|261
label::robot|16_02_2018__11_18_08_0109_upper.png|640|480|531|26|591|107|561.0|66.5|60|81
label::robot|16_02_2018__11_18_08_0109_upper.png|640|480|610|27|640|111|625.0|69.0|30|84
robot|16_02_2018__11_18_08_0112_upper.png|not_in_image
robot|16_02_2018__11_18_08_0113_upper.png|not_in_image
label::robot|16_02_2018__11_18_08_0114_upper.png|640|480|134|0|172|23|153.0|11.5|38|23
label::robot|16_02_2018__11_18_08_0116_upper.png|640|480|586|124|634|194|610.0|159.0|48|70
label::robot|16_02_2018__11_18_08_0116_upper.png|640|480|487|2|612|227|549.5|114.5|125|225
label::robot|16_02_2018__11_18_08_0117_upper.png|640|480|288|6|414|227|351.0|116.5|126|221
label::robot|16_02_2018__11_18_08_0117_upper.png|640|480|410|55|526|196|468.0|125.5|116|141
label::robot|16_02_2018__11_18_08_0117_upper.png|640|480|511|17|633|212|572.0|114.5|122|195
label::robot|16_02_2018__11_18_08_0118_upper.png|640|480|314|4|586|478|450.0|241.0|272|474
label::robot|16_02_2018__11_18_08_0118_upper.png|640|480|588|136|640|385|614.0|260.5|52|249
label::robot|16_02_2018__11_18_08_0118_upper.png|640|480|93|4|221|198|157.0|101.0|128|194
label::robot|16_02_2018__11_18_08_0118_upper.png|640|480|0|0|131|174|65.5|87.0|131|174
label::robot|16_02_2018__11_18_08_0119_upper.png|640|480|369|6|640|480|504.5|243.0|271|474
label::robot|16_02_2018__11_18_08_0119_upper.png|640|480|90|0|232|145|161.0|72.5|142|145
label::robot|16_02_2018__11_18_08_0119_upper.png|640|480|0|0|106|273|53.0|136.5|106|273
label::robot|16_02_2018__11_18_08_0120_upper.png|640|480|436|4|640|389|538.0|196.5|204|385
label::robot|16_02_2018__11_18_08_0120_upper.png|640|480|381|0|581|167|481.0|83.5|200|167
label::robot|16_02_2018__11_18_08_0121_upper.png|640|480|92|11|369|423|230.5|217.0|277|412
label::robot|16_02_2018__11_18_08_0121_upper.png|640|480|413|25|589|364|501.0|194.5|176|339
label::robot|16_02_2018__11_18_08_0121_upper.png|640|480|537|252|640|468|588.5|360.0|103|216
label::robot|16_02_2018__11_18_08_0122_upper.png|640|480|148|4|333|422|240.5|213.0|185|418
label::robot|16_02_2018__11_18_08_0124_upper.png|640|480|0|95|179|427|89.5|261.0|179|332
label::robot|16_02_2018__11_18_08_0126_upper.png|640|480|297|61|434|304|365.5|182.5|137|243
label::robot|16_02_2018__11_18_08_0127_upper.png|640|480|177|145|298|336|237.5|240.5|121|191
label::robot|16_02_2018__11_18_08_0127_upper.png|640|480|485|153|530|274|507.5|213.5|45|121
label::robot|16_02_2018__11_18_08_0127_upper.png|640|480|535|156|573|252|554.0|204.0|38|96
label::robot|16_02_2018__11_18_08_0128_upper.png|640|480|230|92|348|267|289.0|179.5|118|175
label::robot|16_02_2018__11_18_08_0131_upper.png|640|480|493|55|640|423|566.5|239.0|147|368
label::robot|16_02_2018__11_18_08_0131_upper.png|640|480|152|78|245|203|198.5|140.5|93|125
label::robot|16_02_2018__11_18_08_0131_upper.png|640|480|359|77|433|189|396.0|133.0|74|112
label::robot|16_02_2018__11_18_08_0131_upper.png|640|480|431|82|468|150|449.5|116.0|37|68
label::robot|16_02_2018__11_18_08_0133_upper.png|640|480|250|52|454|384|352.0|218.0|204|332
label::robot|16_02_2018__11_18_08_0133_upper.png|640|480|349|206|509|305|429.0|255.5|160|99
label::robot|16_02_2018__11_18_08_0134_upper.png|640|480|182|203|324|299|253.0|251.0|142|96
label::robot|16_02_2018__11_18_08_0134_upper.png|640|480|44|48|248|377|146.0|212.5|204|329
label::robot|16_02_2018__11_18_08_0136_upper.png|640|480|382|58|601|391|491.5|224.5|219|333
label::robot|16_02_2018__11_18_08_0137_upper.png|640|480|466|59|640|409|553.0|234.0|174|350
label::robot|16_02_2018__11_18_08_0138_upper.png|640|480|397|50|617|396|507.0|223.0|220|346
label::robot|16_02_2018__11_18_08_0139_upper.png|640|480|441|54|637|397|539.0|225.5|196|343
label::robot|16_02_2018__11_18_08_0140_upper.png|640|480|453|48|640|407|546.5|227.5|187|359
label::robot|16_02_2018__11_18_08_0141_upper.png|640|480|0|52|96|404|48.0|228.0|96|352
label::robot|16_02_2018__11_18_08_0141_upper.png|640|480|167|102|201|158|184.0|130.0|34|56
label::robot|16_02_2018__11_18_08_0141_upper.png|640|480|531|151|617|275|574.0|213.0|86|124
label::robot|16_02_2018__11_18_08_0142_upper.png|640|480|457|52|638|422|547.5|237.0|181|370
label::robot|16_02_2018__11_18_08_0143_upper.png|640|480|229|50|442|384|335.5|217.0|213|334
label::robot|16_02_2018__11_18_08_0144_upper.png|640|480|65|47|294|388|179.5|217.5|229|341
label::robot|16_02_2018__11_18_08_0147_upper.png|640|480|71|46|296|397|183.5|221.5|225|351
label::robot|16_02_2018__11_18_08_0148_upper.png|640|480|204|54|407|386|305.5|220.0|203|332
label::robot|16_02_2018__11_18_08_0149_upper.png|640|480|513|57|640|423|576.5|240.0|127|366
label::robot|16_02_2018__11_18_08_0150_upper.png|640|480|0|23|109|403|54.5|213.0|109|380
label::robot|16_02_2018__11_18_08_0151_upper.png|640|480|425|58|640|409|532.5|233.5|215|351
label::robot|16_02_2018__11_18_08_0152_upper.png|640|480|175|52|396|392|285.5|222.0|221|340
label::robot|16_02_2018__11_18_08_0153_upper.png|640|480|360|52|575|394|467.5|223.0|215|342
label::robot|16_02_2018__11_18_08_0154_upper.png|640|480|69|58|293|396|181.0|227.0|224|338
label::robot|16_02_2018__11_18_08_0155_upper.png|640|480|275|54|472|386|373.5|220.0|197|332
label::robot|16_02_2018__11_18_08_0156_upper.png|640|480|488|72|562|205|525.0|138.5|74|133
label::robot|16_02_2018__11_18_08_0157_upper.png|640|480|187|43|402|385|294.5|214.0|215|342
label::robot|16_02_2018__11_18_08_0158_upper.png|640|480|106|48|313|396|209.5|222.0|207|348
label::robot|16_02_2018__11_18_08_0159_upper.png|640|480|388|75|464|202|426.0|138.5|76|127
label::robot|16_02_2018__11_18_08_0159_upper.png|640|480|571|68|640|198|605.5|133.0|69|130
label::robot|16_02_2018__11_18_08_0160_upper.png|640|480|147|53|357|388|252.0|220.5|210|335
label::robot|16_02_2018__11_18_08_0161_upper.png|640|480|55|53|265|398|160.0|225.5|210|345
label::robot|16_02_2018__11_18_08_0163_upper.png|640|480|445|61|640|415|542.5|238.0|195|354
label::robot|16_02_2018__11_18_08_0164_upper.png|640|480|506|186|601|280|553.5|233.0|95|94
label::robot|16_02_2018__11_18_08_0164_upper.png|640|480|0|42|96|406|48.0|224.0|96|364
label::robot|16_02_2018__11_18_08_0164_upper.png|640|480|153|112|201|166|177.0|139.0|48|54
label::robot|16_02_2018__11_18_08_0165_upper.png|640|480|468|54|640|423|554.0|238.5|172|369
label::robot|16_02_2018__11_18_08_0166_upper.png|640|480|313|84|405|198|359.0|141.0|92|114
label::robot|16_02_2018__11_18_08_0166_upper.png|640|480|490|80|566|198|528.0|139.0|76|118
label::robot|16_02_2018__11_18_08_0166_upper.png|640|480|547|88|606|190|576.5|139.0|59|102
label::robot|16_02_2018__11_18_08_0166_upper.png|640|480|600|94|634|156|617.0|125.0|34|62
label::robot|16_02_2018__11_18_08_0167_upper.png|640|480|0|48|203|407|101.5|227.5|203|359
label::robot|16_02_2018__11_18_08_0168_upper.png|640|480|331|13|563|366|447.0|189.5|232|353
label::robot|16_02_2018__11_18_08_0169_upper.png|640|480|483|17|571|110|527.0|63.5|88|93
label::robot|16_02_2018__11_18_08_0170_upper.png|640|480|263|0|493|194|378.0|97.0|230|194
label::robot|16_02_2018__11_18_08_0171_upper.png|640|480|416|15|640|215|528.0|115.0|224|200
label::robot|16_02_2018__11_18_08_0172_upper.png|640|480|513|16|584|87|548.5|51.5|71|71
label::robot|16_02_2018__11_18_08_0173_upper.png|640|480|289|0|548|201|418.5|100.5|259|201
label::robot|16_02_2018__11_18_08_0174_upper.png|640|480|367|5|616|208|491.5|106.5|249|203
robot|16_02_2018__11_18_08_0175_upper.png|not_in_image
label::robot|16_02_2018__11_18_08_0176_upper.png|640|480|376|0|439|94|407.5|47.0|63|94
label::robot|16_02_2018__11_18_08_0177_upper.png|640|480|289|0|523|175|406.0|87.5|234|175
robot|16_02_2018__11_18_08_0178_upper.png|not_in_image
robot|16_02_2018__11_18_08_0179_upper.png|not_in_image
robot|16_02_2018__11_18_08_0180_upper.png|not_in_image
robot|16_02_2018__11_18_08_0181_upper.png|not_in_image
robot|16_02_2018__11_18_08_0182_upper.png|not_in_image
robot|16_02_2018__11_18_08_0183_upper.png|not_in_image
robot|16_02_2018__11_18_08_0185_upper.png|not_in_image
robot|16_02_2018__11_18_08_0186_upper.png|not_in_image
label::robot|16_02_2018__11_18_08_0187_upper.png|640|480|491|70|597|269|544.0|169.5|106|199
label::robot|16_02_2018__11_18_08_0188_upper.png|640|480|502|101|564|170|533.0|135.5|62|69
label::robot|16_02_2018__11_18_08_0188_upper.png|640|480|165|15|281|215|223.0|115.0|116|200
label::robot|16_02_2018__11_18_08_0188_upper.png|640|480|147|32|181|86|164.0|59.0|34|54
robot|16_02_2018__11_18_08_0190_upper.png|not_in_image
label::robot|16_02_2018__11_18_08_0193_upper.png|640|480|450|90|541|299|495.5|194.5|91|209
label::robot|16_02_2018__11_18_08_0193_upper.png|640|480|265|80|328|199|296.5|139.5|63|119
label::robot|16_02_2018__11_18_08_0193_upper.png|640|480|21|128|134|174|77.5|151.0|113|46
label::robot|16_02_2018__11_18_08_0194_upper.png|640|480|490|92|568|230|529.0|161.0|78|138
label::robot|16_02_2018__11_18_08_0194_upper.png|640|480|235|149|339|190|287.0|169.5|104|41
label::robot|16_02_2018__11_18_08_0195_upper.png|640|480|488|78|575|274|531.5|176.0|87|196
label::robot|16_02_2018__11_18_08_0195_upper.png|640|480|503|115|526|161|514.5|138.0|23|46
label::robot|16_02_2018__11_18_08_0195_upper.png|640|480|369|89|418|211|393.5|150.0|49|122
label::robot|16_02_2018__11_18_08_0195_upper.png|640|480|99|128|181|177|140.0|152.5|82|49
label::robot|16_02_2018__11_18_08_0195_upper.png|640|480|96|74|132|139|114.0|106.5|36|65
label::robot|16_02_2018__11_18_08_0195_upper.png|640|480|128|72|161|136|144.5|104.0|33|64
label::robot|16_02_2018__11_18_08_0195_upper.png|640|480|166|79|204|139|185.0|109.0|38|60
label::robot|16_02_2018__11_18_08_0197_upper.png|640|480|384|79|480|262|432.0|170.5|96|183
label::robot|16_02_2018__11_18_08_0197_upper.png|640|480|305|70|360|196|332.5|133.0|55|126
label::robot|16_02_2018__11_18_08_0197_upper.png|640|480|360|107|385|141|372.5|124.0|25|34
label::robot|16_02_2018__11_18_08_0198_upper.png|640|480|570|96|632|227|601.0|161.5|62|131
label::robot|16_02_2018__11_18_08_0198_upper.png|640|480|232|109|291|186|261.5|147.5|59|77
label::robot|16_02_2018__11_18_08_0198_upper.png|640|480|263|97|297|148|280.0|122.5|34|51
label::robot|16_02_2018__11_18_08_0198_upper.png|640|480|327|100|366|143|346.5|121.5|39|43
label::robot|16_02_2018__11_18_08_0200_upper.png|640|480|594|123|640|301|617.0|212.0|46|178
label::robot|16_02_2018__11_18_08_0200_upper.png|640|480|552|115|620|239|586.0|177.0|68|124
label::robot|16_02_2018__11_18_08_0201_upper.png|640|480|454|75|540|245|497.0|160.0|86|170
label::robot|16_02_2018__11_18_08_0201_upper.png|640|480|65|63|122|160|93.5|111.5|57|97
label::robot|16_02_2018__11_18_08_0201_upper.png|640|480|88|70|131|129|109.5|99.5|43|59
label::robot|16_02_2018__11_18_08_0202_upper.png|640|480|382|63|465|244|423.5|153.5|83|181
label::robot|16_02_2018__11_18_08_0202_upper.png|640|480|380|72|415|132|397.5|102.0|35|60
label::robot|16_02_2018__11_18_08_0203_upper.png|640|480|122|68|212|243|167.0|155.5|90|175
label::robot|16_02_2018__11_18_08_0203_upper.png|640|480|193|98|229|144|211.0|121.0|36|46
label::robot|16_02_2018__11_18_08_0203_upper.png|640|480|129|76|155|126|142.0|101.0|26|50
label::robot|16_02_2018__11_18_08_0204_upper.png|640|480|471|90|552|277|511.5|183.5|81|187
label::robot|16_02_2018__11_18_08_0204_upper.png|640|480|460|108|488|155|474.0|131.5|28|47
label::robot|16_02_2018__11_18_08_0204_upper.png|640|480|535|128|560|182|547.5|155.0|25|54
label::robot|16_02_2018__11_18_08_0204_upper.png|640|480|109|55|170|163|139.5|109.0|61|108
label::robot|16_02_2018__11_18_08_0204_upper.png|640|480|213|72|243|130|228.0|101.0|30|58
label::robot|16_02_2018__11_18_08_0204_upper.png|640|480|138|65|166|126|152.0|95.5|28|61
label::robot|16_02_2018__11_18_08_0204_upper.png|640|480|109|71|129|132|119.0|101.5|20|61
label::robot|16_02_2018__11_18_08_0207_upper.png|640|480|216|22|311|192|263.5|107.0|95|170
label::robot|16_02_2018__11_18_08_0207_upper.png|640|480|298|43|350|152|324.0|97.5|52|109
label::robot|16_02_2018__11_18_08_0208_upper.png|640|480|362|27|472|228|417.0|127.5|110|201
label::robot|16_02_2018__11_18_08_0208_upper.png|640|480|449|38|483|153|466.0|95.5|34|115
label::robot|16_02_2018__11_18_08_0208_upper.png|640|480|482|58|507|113|494.5|85.5|25|55
label::robot|16_02_2018__11_18_08_0208_upper.png|640|480|0|0|56|92|28.0|46.0|56|92
label::robot|16_02_2018__11_18_08_0208_upper.png|640|480|129|0|153|57|141.0|28.5|24|57
label::robot|16_02_2018__11_18_08_0208_upper.png|640|480|47|0|78|51|62.5|25.5|31|51
label::robot|16_02_2018__11_18_08_0210_upper.png|640|480|508|102|538|153|523.0|127.5|30|51
label::robot|16_02_2018__11_18_08_0210_upper.png|640|480|19|51|81|141|50.0|96.0|62|90
label::robot|16_02_2018__11_18_08_0210_upper.png|640|480|160|67|186|112|173.0|89.5|26|45
label::robot|16_02_2018__11_18_08_0210_upper.png|640|480|371|71|483|265|427.0|168.0|112|194
label::robot|16_02_2018__11_18_08_0210_upper.png|640|480|463|92|518|192|490.5|142.0|55|100
label::robot|16_02_2018__11_18_08_0210_upper.png|640|480|72|56|108|116|90.0|86.0|36|60
label::robot|16_02_2018__11_18_08_0212_upper.png|640|480|363|46|509|281|436.0|163.5|146|235
label::robot|16_02_2018__11_18_08_0212_upper.png|640|480|449|67|491|169|470.0|118.0|42|102
label::robot|16_02_2018__11_18_08_0212_upper.png|640|480|518|71|556|140|537.0|105.5|38|69
label::robot|16_02_2018__11_18_08_0212_upper.png|640|480|46|47|102|140|74.0|93.5|56|93
label::robot|16_02_2018__11_18_08_0212_upper.png|640|480|92|58|126|120|109.0|89.0|34|62
label::robot|16_02_2018__11_18_08_0212_upper.png|640|480|180|56|208|116|194.0|86.0|28|60
label::robot|16_02_2018__11_18_08_0213_upper.png|640|480|524|32|640|303|582.0|167.5|116|271
label::robot|16_02_2018__11_18_08_0213_upper.png|640|480|352|73|378|116|365.0|94.5|26|43
label::robot|16_02_2018__11_18_08_0213_upper.png|640|480|241|70|284|145|262.5|107.5|43|75
label::robot|16_02_2018__11_18_08_0213_upper.png|640|480|269|70|299|125|284.0|97.5|30|55
label::robot|16_02_2018__11_18_08_0214_upper.png|640|480|399|80|427|137|413.0|108.5|28|57
label::robot|16_02_2018__11_18_08_0214_upper.png|640|480|243|44|395|294|319.0|169.0|152|250
label::robot|16_02_2018__11_18_08_0214_upper.png|640|480|63|68|87|119|75.0|93.5|24|51
label::robot|16_02_2018__11_18_08_0214_upper.png|640|480|266|69|308|162|287.0|115.5|42|93
label::robot|16_02_2018__11_18_08_0214_upper.png|640|480|341|80|362|126|351.5|103.0|21|46
label::robot|16_02_2018__11_18_08_0215_upper.png|640|480|17|76|55|137|36.0|106.5|38|61
